"year","month","anomaly"
1924,8,-0.284
1925,8,-0.128
1926,8,-0.09
1927,8,-0.145
1928,8,-0.176
1929,8,-0.185
1930,8,-0.056
1931,8,-0.054
1932,8,-0.197
1933,8,-0.179
1934,8,-0.058
1935,8,-0.154
1936,8,-0.045
1937,8,0.085
1938,8,0.015
1939,8,0.036
1940,8,0.043
1941,8,0.024
1942,8,-0.067
1943,8,-0.009
1944,8,0.236
1945,8,0.364
1946,8,-0.147
1947,8,-0.04
1948,8,-0.003
1949,8,-0.042
1950,8,-0.12
1951,8,0.135
1952,8,0.093
1953,8,0.099
1954,8,-0.093
1955,8,-0.062
1956,8,-0.25
1957,8,0.093
1958,8,0.004
1959,8,0.047
1960,8,0.008
1961,8,0.033
1962,8,-0.005
1963,8,0.126
1964,8,-0.256
1965,8,-0.106
1966,8,-0.017
1967,8,-0.061
1968,8,-0.059
1969,8,0.054
1970,8,-0.093
1971,8,-0.168
1972,8,0.016
1973,8,0.017
1974,8,-0.083
1975,8,-0.18
1976,8,-0.202
1977,8,-0.001
1978,8,-0.185
1979,8,0.083
1980,8,0.038
1981,8,0.121
1982,8,-0.009
1983,8,0.2
1984,8,0.041
1985,8,0.026
1986,8,0.002
1987,8,0.237
1988,8,0.176
1989,8,0.177
1990,8,0.25
1991,8,0.258
1992,8,0.007
1993,8,0.097
1994,8,0.186
1995,8,0.357
1996,8,0.207
1997,8,0.44
1998,8,0.605
1999,8,0.228
2000,8,0.353
2001,8,0.505
2002,8,0.453
2003,8,0.549
2004,8,0.394
2005,8,0.538
2006,8,0.535
2007,8,0.44
2008,8,0.432
2009,8,0.586
2010,8,0.539
2011,8,0.491
2012,8,0.536
2013,8,0.541
2014,8,0.677
2015,8,0.74
2017,8,0.714
2018,8,0.586
2019,8,0.719
2020,8,0.735
2021,8,0.711
1850,9,-0.439
1851,9,-0.101
1852,9,-0.125
1853,9,-0.404
1854,9,-0.119
1855,9,-0.336
1856,9,-0.461
1857,9,-0.393
1858,9,-0.332
1859,9,-0.565
1860,9,-0.217
1861,9,-0.33
1862,9,-0.42
1863,9,-0.316
1864,9,-0.445
1865,9,-0.085
1866,9,-0.232
1867,9,-0.103
1868,9,-0.202
1869,9,-0.196
1870,9,-0.264
